Class,Order,SubOrder,Family,Genus,Species,Location,Adult survival,Max Size,Clutch,Clutches per year,Longevity,AaM,repmode
Reptilia,Squamata,Serpentes,Viperidae,Crotalus,viridis,Temperate,0.85,950,13,1,18,7,1
Reptilia,Squamata,Serpentes,Viperidae,Agkistrodon,contortrix,Temperate,0.7,750,6,0.5,15,3,1
Reptilia,Squamata,Serpentes,Viperidae,Vipera,aspis,Temperate,0.78,540,6,0.33,10,5,1
Reptilia,Squamata,Lacertillia,Xantusiidae,Xantusia,vigilis,Desert,0.71,50,2,1,9,3,1
Reptilia,Squamata,Serpentes,Xenodermidae,???,,,1,,,,,,
Reptilia,Squamata,Serpentes,Xenopeltidae,???,,,1,,,,,,
Reptilia,Squamata,Serpentes,Xenophidiidae,???,,,1,,,,,,
Reptilia,Squamata,Lacertillia,Xenosauridae,Xenosaurus,grandis,Tropics,1,110,5,0.5,12,2.5,0
Reptilia,Squamata,Serpentes,Xenotyphlopidae,???,,,1,,,,,,
Reptilia,Testudines,Testudines,Carettochelyidae,Carettochelys,insculpta,Tropics,1,460,10,1,40,25,0
Reptilia,Testudines,Testudines,Chelidae,Chelodina,longicollis,Tropics,1,250,16,3,34,11,0
Reptilia,Testudines,Testudines,Chelidae,Chelus,fimbriatus,Tropics,1,450,20,1,60,9,0
Reptilia,Testudines,Testudines,Chelidae,Chelodina,mccordi,Tropics,1,180,11,3,35,7.5,0
Reptilia,Testudines,Testudines,Chelidae,Emydura,krefftii,Tropics,1,200,7,3,16,7.5,0
Reptilia,Testudines,Testudines,Chelidae,Emydura,subglobosa,Tropics,1,190,7,1.75,20,10,0
Reptilia,Testudines,Testudines,Cheloniidae,Eretmochelys,imbricata,Tropics,1,1000,140,1,40,4,0
Reptilia,Testudines,Testudines,Cheloniidae,Caretta,caretta,Tropics,1,850,120,1,60,20,0
Reptilia,Testudines,Testudines,Cheloniidae,Chelonia,mydas,Tropics,1,1100,136,0.33,70,25,0
Reptilia,Testudines,Testudines,Cheloniidae,Lepidochelys,kempii,Tropics,1,650,110,1,40,23,0
Reptilia,Testudines,Testudines,Chelydridae,Macrochelys,temminckii,Temperate,1,800,30,1,45,12,0
Reptilia,Testudines,Testudines,Chelydridae,Chelydra,serpentina,Temperate,1,500,30,1,30,10,0
Reptilia,Testudines,Testudines,Dermatemydidae,???,,,1,,,,,,0
Reptilia,Testudines,Testudines,Dermochelyidae,Dermochelys,coriacea,Tropics,1,1500,105,2,75,13,0
Reptilia,Testudines,Testudines,Emydidae,Pseudemys,nelsoni,Temperate,1,300,14,4.5,30,6,0
Reptilia,Testudines,Testudines,Emydidae,Pseudemys,concinna,Temperate,1,290,15,2.5,40,6,0
Reptilia,Testudines,Testudines,Emydidae,Graptemys,geographica,Temperate,1,230,13,2.5,40,14,0
Reptilia,Testudines,Testudines,Emydidae,Graptemys,barbouri,Temperate,1,250,9,4,40,17.5,0
Reptilia,Testudines,Testudines,Emydidae,Pseudemys,rubriventris,Temperate,1,400,15,1,50,6,0
Reptilia,Testudines,Testudines,Emydidae,Terrapene,carolina,Temperate,1,150,4.5,1,100,5,0
Reptilia,Testudines,Testudines,Emydidae,Trachemys,scripta,Temperate,1,250,9,2,30,6.5,0
Reptilia,Testudines,Testudines,Emydidae,Deirochelys,reticularia,Temperate,1,160,8.5,2,24,5,0
Reptilia,Testudines,Testudines,Emydidae,Glyptemys,insculpta,Temperate,1,200,9,0.75,60,17,0
Reptilia,Testudines,Testudines,Emydidae,Emydoidea,blandingii,Temperate,1,200,10,0.5,75,18,0
Reptilia,Testudines,Testudines,Emydidae,Chrysemys,picta,Temperate,1,200,10,1,35,8,0
Reptilia,Testudines,Testudines,Emydidae,Emys,orbicularis,Temperate,1,300,9,2,20,5.5,0
Reptilia,Testudines,Testudines,Emydidae,Malaclemys,terrapin,Temperate,1,220,6,1.5,33,7,0
Reptilia,Testudines,Testudines,Emydidae,Clemmys,guttata,Temperate,1,110,5,1,40,10.5,0
Reptilia,Testudines,Testudines,Emydidae,Glyptemys,muhlenbergii,Temperate,1,100,3,1,50,7,0
Reptilia,Testudines,Testudines,Emydidae,Emys,marmorata,Temperate,1,150,6,0.5,50,11,0
Reptilia,Testudines,Testudines,Emydidae,Terrapene,ornata,Temperate,1,120,3,1.5,32,8,0
Reptilia,Testudines,Testudines,Geoemydidae,Callagur,borneoensis,Tropics,1,550,12,1.5,60,7,0
Reptilia,Testudines,Testudines,Geoemydidae,Cuora,amboinensis,Temperate,1,250,3,3,27.5,4,0
Reptilia,Testudines,Testudines,Geoemydidae,Rhinoclemmys,pulcherrima,Tropics,1,200,4,3,20,10,0
Reptilia,Testudines,Testudines,Geoemydidae,Cuora,flavomarginata,Temperate,1,160,3.5,2,30,14,0
Reptilia,Testudines,Testudines,Kinosternidae,Kinosternon,baurii,Temperate,1,130,4,3,50,5.5,0
Reptilia,Testudines,Testudines,Kinosternidae,Sternotherus,odoratus,Temperate,1,130,3.5,3,50,5,0
Reptilia,Testudines,Testudines,Kinosternidae,Kinosternon,flavescens,Temperate,1,110,10,1,30,6.5,0
Reptilia,Testudines,Testudines,Kinosternidae,Sternotherus,minor,Temperate,1,110,3,3.5,25,8,0
Reptilia,Testudines,Testudines,Kinosternidae,Sternotherus,carinatus,Temperate,1,105,3.5,2,25,4.5,0
Reptilia,Testudines,Testudines,Kinosternidae,Kinosternon,subrubrum,Temperate,1,120,3,1,30,5.5,0
Reptilia,Testudines,Testudines,Pelomedusidae,???,,,1,,,,,,
Reptilia,Testudines,Testudines,Platysternidae,???,,,1,,,,,,
Reptilia,Testudines,Testudines,Podocnemididae,???,,,1,,,,,,
Reptilia,Testudines,Testudines,Testudinidae,Psammobates,pardalis,Temperate,1,450,18,6,50,7,0
Reptilia,Testudines,Testudines,Testudinidae,Dipsochelys,dussumieri,Tropics,1,1000,15,1.5,150,25,0
Reptilia,Testudines,Testudines,Testudinidae,Chelonoidis,nigra,Tropics,1,1100,10,2.5,150,40,0
Reptilia,Testudines,Testudines,Testudinidae,Geochelone,elegans,Desert,1,300,6,9,50,10,0
Reptilia,Testudines,Testudines,Testudinidae,Astrochelys,yniphopra,Tropics,1,400,3.2,4.5,75,20,0
Reptilia,Testudines,Testudines,Testudinidae,Chelonoidis,carbonaria,Tropics,1,500,8,3,30,5,0
Reptilia,Testudines,Testudines,Testudinidae,Gopherus,flavomarginatus,Desert,1,300,12,1,60,15,0
Reptilia,Testudines,Testudines,Testudinidae,Testudo,hermanni,Temperate,1,200,3,1.5,120,12,0
Reptilia,Testudines,Testudines,Testudinidae,Gopherus,agassizii,Desert,1,250,4,1.5,65,17.5,0
Reptilia,Testudines,Testudines,Testudinidae,Gopherus,polyphemus,Temperate,1,250,6,1,60,15,0
Reptilia,Testudines,Testudines,Testudinidae,Psammobates,geometricus,Temperate,1,125,5,1.25,30,7.5,0
Reptilia,Testudines,Testudines,Trioychidae,Apalone,ferox,Temperate,1,600,26,5,35,6.5,0
Reptilia,Testudines,Testudines,Trioychidae,Apalone,spinifera,Temperate,1,450,15,2,50,9,0
Reptilia,Testudines,Testudines,Trioychidae,Apalone,mutica,Temperate,1,350,20,1,20,9,0
