,class,order,family,species,AaM,log.AaM,longevity,juvSurv,juvMort,adMort,svl,birth.svl,repmode,Terr,AdTerr,na_count,IF
60,Actinopterygii,Perciformes,Lutjanidae,Apsilus dentatus,NA,NA,NA,NA,NA,NA,65,NA,0,0,0,7,0
61,Actinopterygii,Perciformes,Lutjanidae,Apsilus fuscus,NA,NA,NA,NA,NA,NA,75,NA,0,0,0,7,0
62,Actinopterygii,Perciformes,Lutjanidae,Etelis carbunculus,NA,NA,NA,NA,NA,NA,127,NA,0,0,0,7,0
63,Actinopterygii,Perciformes,Scombridae,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,250,NA,0,0,0,7,0
64,Actinopterygii,Perciformes,Scombridae,Allothunnus fallai,NA,NA,NA,NA,NA,NA,105,NA,0,0,0,7,0
65,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion quadricornis,NA,NA,NA,NA,NA,NA,55,NA,0,0,0,7,0
66,Actinopterygii,Perciformes,Scombridae,Auxis rochei,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
67,Actinopterygii,Perciformes,Scombridae,Auxis thazard,NA,NA,NA,NA,NA,NA,65,NA,0,0,0,7,0
68,Actinopterygii,Perciformes,Scombridae,Cybiosarda elegans,NA,NA,NA,NA,NA,NA,45,NA,0,0,0,7,0
69,Actinopterygii,Perciformes,Scombridae,Euthynnus affinis,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
70,Actinopterygii,Perciformes,Scombridae,Euthynnus alletteratus,NA,NA,NA,NA,NA,NA,122,NA,0,0,0,7,0
71,Actinopterygii,Perciformes,Scombridae,Euthynnus lineatus,NA,NA,NA,NA,NA,NA,84,NA,0,0,0,7,0
72,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus ferox,NA,NA,NA,NA,NA,NA,215,NA,0,0,0,7,0
73,Actinopterygii,Perciformes,Scombridae,Gasterochisma melampus,0.899285714,-0.106154482,7.8,0.000133742,9.91959982,0.526513727,164,NA,0,0,0,1,0
