id,Order,Family,Genus,Species,Fos,Ter,Aqu,Arb,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS,Ped,"ref for ped (if animaldiversity.org, can just put 1)",Terr,AdTerr,IF,repmode,age_at_metamorphosis,age_at_metamorphosis_ref
Anf6028,Caudata,Hynobiidae,Hynobius,Hynobius fuca,NA,1,1,NA,NA,NA,NA,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6029,Caudata,Hynobiidae,Hynobius,Hynobius glacialis,NA,1,1,NA,NA,NA,NA,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6032,Caudata,Hynobiidae,Hynobius,Hynobius hirosei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6050,Caudata,Hynobiidae,Hynobius,Hynobius yangi,NA,1,1,NA,4.8,2,3,62.6,NA,NA,11,66,86,NA,2.7,2.9,NA,NA,NA,NA,,,0,1,0,,,
Anf6051,Caudata,Hynobiidae,Hynobius,Hynobius yatsui,NA,1,1,NA,NA,NA,NA,100,NA,NA,NA,7,19,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6061,Caudata,Hynobiidae,Protohynobius,Protohynobius puxiongensis,NA,1,1,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6063,Caudata,Hynobiidae,Pseudohynobius,Pseudohynobius guizhouensis,1,1,1,NA,NA,NA,NA,203.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6064,Caudata,Hynobiidae,Pseudohynobius,Pseudohynobius jinfo,NA,1,1,NA,NA,NA,NA,198.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6069,Caudata,Hynobiidae,Salamandrella,Salamandrella tridactyla,NA,1,1,NA,NA,NA,NA,160,NA,NA,NA,106,131,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf5977,Caudata,Ambystomatidae,Ambystoma,Ambystoma bishopi,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf5992,Caudata,Ambystomatidae,Ambystoma,Ambystoma mavortium,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf5999,Caudata,Ambystomatidae,Ambystoma,Ambystoma subsalsum,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf6099,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa cataguana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6101,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa centenorum,NA,NA,NA,NA,NA,NA,NA,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6110,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa daryorum,NA,1,NA,1,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6120,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa eremia,1,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6132,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa huehuetenanguensis,NA,1,NA,NA,NA,NA,NA,86.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6134,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa indio,NA,1,NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6135,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa insularis,NA,NA,NA,1,NA,NA,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6137,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa kaqchikelorum,NA,1,NA,1,NA,NA,NA,79.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6138,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa la,NA,NA,NA,NA,NA,NA,NA,78.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6155,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa ninadormida,NA,NA,NA,NA,NA,NA,NA,86.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6156,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa nussbaumi,NA,1,NA,NA,NA,NA,NA,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6157,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa nympha,NA,NA,NA,1,NA,NA,NA,70.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6162,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa omniumsanctorum,NA,NA,NA,NA,NA,NA,NA,96.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6165,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa pacaya,NA,1,NA,1,NA,NA,NA,65.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6174,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa psephena,NA,NA,NA,NA,NA,NA,NA,123.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6175,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa pygmaea,NA,1,NA,NA,NA,NA,NA,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6178,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa robinsoni,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6193,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa suchitanensis,NA,1,NA,1,NA,NA,NA,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6197,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa tica,NA,1,NA,1,NA,NA,NA,101.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6198,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa tzultacaj,NA,NA,NA,NA,NA,NA,NA,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6202,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa xibalba,NA,1,NA,1,NA,NA,NA,73.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6204,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa zacapensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6223,Caudata,Plethodontidae,Cryptotriton,Cryptotriton sierraminensis,NA,NA,NA,1,NA,NA,NA,63,NA,NA,NA,9,50,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6227,Caudata,Plethodontidae,Dendrotriton,Dendrotriton chujorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6229,Caudata,Plethodontidae,Dendrotriton,Dendrotriton kekchiorum,NA,NA,NA,NA,NA,NA,NA,70.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6247,Caudata,Plethodontidae,Nototriton,Nototriton tomamorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6257,Caudata,Plethodontidae,Oedipina,Oedipina fortunensis,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6262,Caudata,Plethodontidae,Oedipina,Oedipina kasios,1,1,1,NA,NA,NA,NA,164.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6263,Caudata,Plethodontidae,Oedipina,Oedipina leptopoda,1,1,1,NA,NA,NA,NA,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6265,Caudata,Plethodontidae,Oedipina,Oedipina nica,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6271,Caudata,Plethodontidae,Oedipina,Oedipina quadra,1,1,1,NA,NA,NA,NA,148.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6276,Caudata,Plethodontidae,Oedipina,Oedipina tomasi,1,1,1,NA,NA,NA,NA,62.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6288,Caudata,Plethodontidae,Pseudoeurycea,Pseudoeurycea cafetalera,1,1,1,NA,NA,NA,NA,105.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6358,Caudata,Plethodontidae,Aneides,Aneides iecanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6360,Caudata,Plethodontidae,Aneides,Aneides niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6369,Caudata,Plethodontidae,Desmognathus,Desmognathus conanti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,NA,NA,NA,NA,NA,NA,NA,,,0,0,1,,,
Anf6378,Caudata,Plethodontidae,Desmognathus,Desmognathus organi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,0,1,,,
Anf6379,Caudata,Plethodontidae,Desmognathus,Desmognathus planiceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,0,1,,,
Anf6397,Caudata,Plethodontidae,Plethodon,Plethodon chattahoochee,NA,1,1,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6399,Caudata,Plethodontidae,Plethodon,Plethodon chlorobryonis,NA,1,1,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6419,Caudata,Plethodontidae,Plethodon,Plethodon mississippi,NA,1,1,NA,NA,2,2,163.5,55,60,NA,NA,NA,NA,5,8,NA,NA,NA,NA,,,0,1,1,,,
Anf6423,Caudata,Plethodontidae,Plethodon,Plethodon ocmulgee,NA,1,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6428,Caudata,Plethodontidae,Plethodon,Plethodon savannah,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6437,Caudata,Plethodontidae,Plethodon,Plethodon variolatus,NA,1,1,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6452,Caudata,Plethodontidae,Eurycea,Eurycea aquatica,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,60,96,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6483,Caudata,Plethodontidae,Pseudotriton,Pseudotriton diastictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6487,Caudata,Plethodontidae,Urspelerpes,Urspelerpes brucei,1,1,NA,NA,NA,NA,NA,50.9,NA,NA,NA,6,14,NA,1.5,2,NA,NA,NA,NA,,,0,1,1,,,
Anf6506,Caudata,Salamandridae,Hypselotriton,Hypselotriton chenggongensis,NA,NA,1,NA,NA,NA,NA,106.2,NA,NA,NA,200,300,NA,2.8,3.6,NA,NA,NA,NA,,,0,1,1,,,
Anf6507,Caudata,Salamandridae,Hypselotriton,Hypselotriton cyanurus,NA,1,1,NA,NA,NA,NA,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6508,Caudata,Salamandridae,Hypselotriton,Hypselotriton fudingensis,NA,NA,1,NA,NA,NA,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6509,Caudata,Salamandridae,Hypselotriton,Hypselotriton orientalis,NA,NA,1,NA,NA,NA,NA,98,NA,NA,NA,100,100,NA,2,2,NA,NA,NA,NA,,,0,1,1,,,
Anf6510,Caudata,Salamandridae,Hypselotriton,Hypselotriton orphicus,NA,NA,1,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6511,Caudata,Salamandridae,Hypselotriton,Hypselotriton wolterstorffi,NA,NA,1,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6512,Caudata,Salamandridae,Ichthyosaura,Ichthyosaura alpestris,NA,NA,NA,NA,3.9,2,3,87.5,NA,NA,20,73,190,NA,NA,NA,NA,NA,NA,NA,1,,0,0,1,1,,
Anf6513,Caudata,Salamandridae,Laotriton,Laotriton laoensis,NA,NA,1,NA,45,NA,NA,246,NA,NA,NA,1,29,NA,2.5,3,NA,NA,NA,NA,,,0,1,1,,,
Anf6515,Caudata,Salamandridae,Lissotriton,Lissotriton graecus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6518,Caudata,Salamandridae,Lissotriton,Lissotriton kosswigi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6519,Caudata,Salamandridae,Lissotriton,Lissotriton lantzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6520,Caudata,Salamandridae,Lissotriton,Lissotriton maltzani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6521,Caudata,Salamandridae,Lissotriton,Lissotriton meridionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6533,Caudata,Salamandridae,Pachytriton,Pachytriton archospotus,NA,NA,1,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6539,Caudata,Salamandridae,Paramesotriton,Paramesotriton ermizhaoi,NA,NA,1,NA,NA,NA,NA,137.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6543,Caudata,Salamandridae,Paramesotriton,Paramesotriton longliensis,NA,NA,1,NA,NA,NA,NA,165.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6544,Caudata,Salamandridae,Paramesotriton,Paramesotriton yunwuensis,NA,NA,1,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6545,Caudata,Salamandridae,Paramesotriton,Paramesotriton zhijinensis,NA,NA,1,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6551,Caudata,Salamandridae,Taricha,Taricha sierrae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6553,Caudata,Salamandridae,Triturus,Triturus arntzeni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,0,0,1,1,,
Anf6558,Caudata,Salamandridae,Triturus,Triturus macedonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,0,0,1,1,,
Anf6564,Caudata,Salamandridae,Tylototriton,Tylototriton notialis,NA,1,1,NA,NA,NA,NA,141.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6583,Caudata,Salamandridae,Salamandra,Salamandra longirostris,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6598,Gymnophiona,Caeciliidae,Brasilotyphlus,Brasilotyphlus braziliensis,1,1,1,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6599,Gymnophiona,Caeciliidae,Brasilotyphlus,Brasilotyphlus guarantanus,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6601,Gymnophiona,Caeciliidae,Caecilia,Caecilia albiventris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6602,Gymnophiona,Caeciliidae,Caecilia,Caecilia antioquiaensis,1,1,1,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6603,Gymnophiona,Caeciliidae,Caecilia,Caecilia armata,1,1,1,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6604,Gymnophiona,Caeciliidae,Caecilia,Caecilia attenuata,1,1,1,NA,NA,NA,NA,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6605,Gymnophiona,Caeciliidae,Caecilia,Caecilia bokermanni,1,1,1,NA,NA,NA,NA,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6606,Gymnophiona,Caeciliidae,Caecilia,Caecilia caribea,1,1,1,NA,NA,NA,NA,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6607,Gymnophiona,Caeciliidae,Caecilia,Caecilia corpulenta,1,1,1,NA,NA,NA,NA,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6608,Gymnophiona,Caeciliidae,Caecilia,Caecilia crassisquama,1,1,1,NA,NA,NA,NA,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6609,Gymnophiona,Caeciliidae,Caecilia,Caecilia degenerata,1,1,1,NA,NA,NA,NA,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6610,Gymnophiona,Caeciliidae,Caecilia,Caecilia disossea,1,1,1,NA,NA,NA,NA,1170,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6611,Gymnophiona,Caeciliidae,Caecilia,Caecilia dunni,1,1,1,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6612,Gymnophiona,Caeciliidae,Caecilia,Caecilia flavopunctata,1,1,1,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6613,Gymnophiona,Caeciliidae,Caecilia,Caecilia gracilis,1,1,1,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6614,Gymnophiona,Caeciliidae,Caecilia,Caecilia guntheri,1,1,1,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6615,Gymnophiona,Caeciliidae,Caecilia,Caecilia inca,1,1,1,NA,NA,NA,NA,1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6616,Gymnophiona,Caeciliidae,Caecilia,Caecilia isthmica,NA,NA,NA,NA,NA,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6617,Gymnophiona,Caeciliidae,Caecilia,Caecilia leucocephala,1,1,1,NA,NA,NA,NA,455,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6618,Gymnophiona,Caeciliidae,Caecilia,Caecilia marcusi,1,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6620,Gymnophiona,Caeciliidae,Caecilia,Caecilia nigricans,1,1,1,NA,NA,NA,NA,1030,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6621,Gymnophiona,Caeciliidae,Caecilia,Caecilia occidentalis,1,1,1,NA,NA,NA,NA,1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6623,Gymnophiona,Caeciliidae,Caecilia,Caecilia pachynema,1,1,1,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6624,Gymnophiona,Caeciliidae,Caecilia,Caecilia perdita,1,1,1,NA,NA,NA,NA,505,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6625,Gymnophiona,Caeciliidae,Caecilia,Caecilia pressula,1,1,1,NA,NA,NA,NA,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6626,Gymnophiona,Caeciliidae,Caecilia,Caecilia subdermalis,1,1,1,NA,NA,NA,NA,790,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6627,Gymnophiona,Caeciliidae,Caecilia,Caecilia subnigricans,1,1,1,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6628,Gymnophiona,Caeciliidae,Caecilia,Caecilia subterminalis,1,1,1,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6629,Gymnophiona,Caeciliidae,Caecilia,Caecilia tentaculata,1,1,1,NA,NA,NA,NA,987,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6630,Gymnophiona,Caeciliidae,Caecilia,Caecilia tenuissima,1,1,1,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6631,Gymnophiona,Caeciliidae,Caecilia,Caecilia thompsoni,1,1,1,NA,NA,NA,NA,1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6632,Gymnophiona,Caeciliidae,Caecilia,Caecilia volcani,1,1,1,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6633,Gymnophiona,Caeciliidae,Caecilita,Caecilita iwokramae,1,1,1,NA,NA,NA,NA,112,NA,NA,NA,4,4,NA,1.2,1.2,NA,NA,NA,NA,,,0,1,1,,,
Anf6634,Gymnophiona,Caeciliidae,Dermophis,Dermophis costaricense,1,1,1,NA,NA,NA,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6654,Gymnophiona,Caeciliidae,Grandisonia,Grandisonia alternans,1,1,1,NA,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6655,Gymnophiona,Caeciliidae,Grandisonia,Grandisonia brevis,1,1,1,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6656,Gymnophiona,Caeciliidae,Grandisonia,Grandisonia diminutiva,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6657,Gymnophiona,Caeciliidae,Grandisonia,Grandisonia larvata,1,1,1,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6658,Gymnophiona,Caeciliidae,Grandisonia,Grandisonia sechellensis,1,1,1,NA,NA,NA,NA,190,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6661,Gymnophiona,Caeciliidae,Herpele,Herpele multiplicata,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6662,Gymnophiona,Caeciliidae,Herpele,Herpele squalostoma,1,1,1,NA,NA,NA,NA,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6663,Gymnophiona,Caeciliidae,Hypogeophis,Hypogeophis rostratus,1,1,1,NA,NA,NA,NA,326,NA,NA,NA,5,20,NA,6,10,NA,NA,NA,NA,,,0,1,1,,,
Anf6664,Gymnophiona,Caeciliidae,Idiocranium,Idiocranium russeli,1,1,1,NA,NA,NA,NA,113,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6665,Gymnophiona,Caeciliidae,Indotyphlus,Indotyphlus battersbyi,1,1,1,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6666,Gymnophiona,Caeciliidae,Indotyphlus,Indotyphlus maharashtraensis,1,1,1,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6667,Gymnophiona,Caeciliidae,Luetkenotyphlus,Luetkenotyphlus brasiliensis,1,1,1,NA,NA,NA,NA,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
