 ,Order,SubOrder,Binomial,Genus,epithet,valid (reptile database; February 2018),main biogeographic Realm,Latitude centroid (from Roll et al. 2017),Longitude centroid (from Roll et al. 2017),insular endemic,maximum SVL,female SVL,hatchling/neonate SVL,reproductive mode,clutch size,smallest clutch,largest clutch,smallest mean clutch size,largest mean clutch size,breeding age (months),youngest age at first breeding (months),oldest age at first breeding (months),Family,IUCN redlist assessment,Longevity,"ref for longevity (if animladiversity.org, just put 1, 2 for https://www.demogr.mpg.de/longevityrecords/)"
Reptilia,Squamata,Lacertilla,Amblyrhynchus cristatus,Amblyrhynchus,cristatus,yes,Neotropic,-0.55,-90.9,yes,560,320,110.5,Oviparous,"depends on island, from 1 to a maximum of 6 and increases with svl (Wikelski & Romero 2003), 1-6 (Zug 2013)",1,6,2,2.5,Clobert et al. 1998,41,41,Iguanidae,VU,6.4,1
Reptilia,Squamata,Lacertilla,Amphisbaena darwinii,Amphisbaena,darwinii,yes,Neotropic,-29.46,-58.22,no,360,NA,have mass but no SVL data,Oviparous,Andrade et al. 2006: 2-8,2,8,NA,NA,NA,NA,NA,Amphisbaenidae,NE,0.2,2
Reptilia,Squamata,Lacertilla,Blanus cinereus,Blanus,cinereus,yes,Palearctic,39.42,-4.57,no,254,159,78,Oviparous,"1-2 (Maso and Pijoan 2011), 1-3 (Kwet 2015)",1,3,NA,NA,NA,NA,NA,Blanidae,LC,0.7,2
Reptilia,Squamata,Lacertilla,Calotes emma,Calotes,emma,yes,Oriental,19.16,101.88,no,125,98,32,Oviparous,"4-12 (IUCN Bangladesh 2015, Das and Das 2017)",3,12,NA,NA,Fitch 1970: probably 2 years,24,24,Agamidae,NE,0.7,2
Reptilia,Squamata,Lacertilla,Stenodactylus petrii,Stenodactylus,petrii,yes,Palearctic,22.86,13.12,no,71,58.1,28,Oviparous,"2 (e.g., Goldberg and Maza 2018)",2,2,2,2,NA,NA,NA,Gekkonidae,NE,0.8,2
Reptilia,Squamata,Lacertilla,Anolis lineatopus,Anolis,lineatopus,yes,Neotropic,18.15,-77.31,yes,73,46.2,21,Oviparous,NA,1,1,1,1,Andrews 1976: 156 days,5,5,Dactyloidae,NE,1,2
Reptilia,Squamata,Lacertilla,Hemidactylus brookii,Hemidactylus,brookii,yes,Oriental,17.34,89.97,no,85,49.6,22.9,Oviparous,"2 (IUCN Bangladesh 2015, Das and Das 2017)",1,2,2,2,NA,NA,NA,Gekkonidae,NE,1.1,2
Reptilia,Squamata,Lacertilla,Phrynosoma orbiculare,Phrynosoma,orbiculare,yes,Nearctic,23.63,-103.03,no,97,71.6,24.2,Viviparous,"9-30 (Lemos-Espinal and Dixon 2013, Lemos-Espinal et al. 2013, see also Goldberg 2011), Rorabaugh and Lemos-Espinal 2016 (,mean 9-10, max 30), 9, 12, 13 & 15 (Feria-Ortiz et al. 2018)",9,30,9.4,17,NA,NA,NA,Phrynosomatidae,LC,1.1,2
Reptilia,Squamata,Lacertilla,Agama hartmanni,Agama,hartmanni,yes,Palearctic,15.7,31.72,no,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agamidae,NE,1.2,2
Reptilia,Squamata,Lacertilla,Amphisbaena brasiliana,Amphisbaena,brasiliana,yes,Neotropic,-5.27,-55.47,no,317,NA,NA,Oviparous,"9 (Oliveira and Gomes 2017, n=1)",9,9,NA,NA,NA,NA,NA,Amphisbaenidae,NE,1.2,2
Reptilia,Squamata,Lacertilla,Acanthodactylus pardalis,Acanthodactylus,pardalis,yes,Palearctic,31.05,25.1,no,77,61,30,Oviparous,"2-6 (Cisse et al. 1977), 2-5 (Rogner 1997)",2,7,2.5,4.8,Clobert et al. 1998,22,22,Lacertidae,VU,1.5,2
Reptilia,Squamata,Lacertilla,Calotes versicolor,Calotes,versicolor,yes,Oriental,21.29,87.85,no,150,86.8,23.2,Oviparous,"7-33 (Pandav et al. 2010), 11-23 (Gardner 2013), mean 15 (Mesquita et al. 2016), 7 (n=1, Sumarli et al. 2015), 7-19 (Srinivasulu et al. 2014), 4-12 (Vassilieva et al. 2016), about 12 (de Silva and Ukuwela 2017), 6-23 (Das and Das 2017)",1,33,7.3,20,"Schleich and Kastle 2002, Van Wilgen and Richardson 2012, Dunham et al. 1988, Rogner 1997: 9-12, see Fitch 1970",6,12,Agamidae,NE,1.5,2
Reptilia,Squamata,Lacertilla,Acanthodactylus boskianus,Acanthodactylus,boskianus,yes,Palearctic,23.35,19.84,no,95,60.1,26.5,Oviparous,"6-8 (Bar and Haimovitch 2012), 3-4, mean 3.2 (Goldberg 2013), 2-8 (Gardner 2013), 1-4 mean 2.6 (Akiki et al. 2015), mean 4.1 (Werner 1995 - and 2.6 for ""schreiberi"", also Werner 2016, range 1-4 for the latter), 2-7, mean 4.1 (Werner 2016)",1,8,2.6,6,"Goldberg 2013: 18 months citing Rogner 1997, but Arbel (1984) says they hatch in June/July and breed in Spring. Assuming it is April this gives 9 months, Uzum et al. say 4-5 years!!",9,9,Lacertidae,NE,1.6,2
Reptilia,Squamata,Lacertilla,Lacerta agilis,Lacerta,agilis,yes,Palearctic,52.17,53.43,no,114,77.6,27,Oviparous,"4-15, mean 9.5, 4-13, mean 8 (Karmishev and Yarigin 2013), 5-11 (Nikolskii 1915), mean 9.5 (e.g., Mesquita et al. 2016), 2-19, means 5.3-9.64 (Roitberg et al. 2015), 4-14 (Szczerbak 2003), 11.5 (Hallmann and Griebeler 2015), 2-16 (Ljungstrom et al. 2016, fig1)",1,21,5.3,11.5,"Dunham et al. 1988, Clobert et al. 1998, Siliceo and Diaz 2010, Rogner 1997: after 2nd hybernation, Bauwens and Diaz-Uriarte 1997: 15 months, Hallmann and Griebeler 2015: 1 year, Ljungstrom et al. 2016:2-3 years",12,36,Lacertidae,LC,1.6,2
Reptilia,Squamata,Lacertilla,Tropidurus hispidus,Tropidurus,hispidus,yes,Neotropic,-2.61,-51.5,no,139.1,83.8,28.1,Oviparous,"6-13, mean 8.1 (Ribeiro et al. 2012), means 1.667-7.563 (Mesquita et al. 2016 - smallest mean I have otherwise is 5.6)",1,14,5.6,8.1,NA,NA,NA,Tropiduridae,NE,1.6,2
Reptilia,Squamata,Lacertilla,Tropiocolotes steudneri,Tropiocolotes,steudneri,yes,Palearctic,21.18,26.25,no,34.8,24.6,have mass but no SVL data,Oviparous,NA,1,1,1,1,NA,NA,NA,Gekkonidae,NE,1.8,2
Reptilia,Squamata,Lacertilla,Cophosaurus texanus,Cophosaurus,texanus,yes,Nearctic,29.79,-103.33,no,89,55.9,23.5,Oviparous,"2-9 (Lemos-Espinal and Dixon 2013, Hibbitts and Hibbitts 2015, Rorabaugh and Lemos-Espinal 2016), 2-12 (Ramirez Bautista and Arizmendi 2004), 1-7, mean 4.6 (Vitt 1977), mean 6.1 (Mesquita et al. 2016)",1,12,2.3,6.8,"Dunham et al. 1988, Clobert et al. 1998",10,12,Phrynosomatidae,LC,2,reptilesBIO
Reptilia,Squamata,Lacertilla,Sceloporus woodi,Sceloporus,woodi,yes,Nearctic,27.87,-81.21,no,65,55,21,Oviparous,"5 (Charnov et al. 2007), 2-8, mean 4.62 (Jimenez-Arcos et al. 2017)",2,8,4.1,5.5,Jackson and Telford 1974,10,11,Phrynosomatidae,NT,2,reptilesBIO
Reptilia,Squamata,Lacertilla,Uta stansburiana,Uta,stansburiana,yes,Nearctic,34.13,-110.98,no,77,45.9,21.5,Oviparous,"1-8 (Stebbins and McGinnis 2012, Rorabaugh and Lemos-Espinal 2016), means of 2.6-3.4 (Goldberg 2012), means 2.5-5.3 (Mesquita et al. 2016), 1-8 (Hibbitts and Hibbitts 2015), 1-4 (Shaw 1952, mean 2.67, n=3), means 2.3-5.3 (Rorabaugh and Lemos-Espinal 2016), 2-5 (Storm and Leonard 1995)",1,9,2.3,5.3,"Dunham et al. 1988, Shine and Charnov 1992, Clobert et al. 1998, a year or less (Stebbins and McGinnis 2012)",9,12,Phrynosomatidae,LC,2,reptilesBIO
Reptilia,Squamata,Lacertilla,Stellagama stellio,Stellagama,stellio,yes,Palearctic,34.05,35.38,no,210,105.8,31,Oviparous,"4-12 (Bar and Haimovitch 2012), 10 (Van Wilgen and Richardson 2012), 6-18 (Ibrahim and El-Naggar 2013), mean 7.7 (Werner 1995), 4-10, mean 8.1 (Werner 2016), 6-10 (Speybroeck et al. 2016), 5-14 (Kwet 2015), 5-20, mean 10.2 (TAU experimental zoo data)",3,20,7.7,10.2,"Maybe some females breed age 1 year, most only in their second spring or summer; Kumas and Ayaz 2014: 3 years; Ergul et al. 2014: 2-3 years; Werner 2016: 2 years",24,36,Agamidae,LC,2.3,2
Reptilia,Squamata,Lacertilla,Hemidactylus turcicus,Hemidactylus,turcicus,yes,Palearctic,30.18,25.84,no,64.7,48,23.5,Oviparous,"mean 2.5(!), Hallmann & Griebeler 2015, mean 2 (Werner 1995), 1-2 (Stille and Stille 2017)",1,3,2,2,"Degenhardt et al. 1996, Van Wilgen and Richardson 2012, Henkel and Schmidt 1995: 2 years - sounds dubious, Amitai and Bouskila 2001: probably 1 year, Rogner 1997: 1 year; Cicek et al. 2015: 2-3 years in Turkey, 650 days (Hallmann & Griebeler 2015)",8.6,36,Gekkonidae,LC,2.4,2
Reptilia,Squamata,Lacertilla,Tarentola delalandii,Tarentola,delalandii,yes,Palearctic,28.39,-16.89,yes,84,51.4,24,Oviparous,1-2 (Maso and Pijoan 2011),1,2,NA,NA,NA,NA,NA,Phyllodactylidae,LC,2.4,2
Reptilia,Squamata,Lacertilla,Anolis luteogularis,Anolis,luteogularis,yes,Neotropic,22.43,-83.01,yes,191,132,NA,NA,1 (Myhrvold et al. 2015),1,1,1,1,NA,NA,NA,Dactyloidae,NE,2.8,2
Reptilia,Squamata,Lacertilla,Corucia zebrata,Corucia,zebrata,yes,Oceania,-8.08,158.36,yes,350,300,149,Viviparous,"1-2 (Rogner 1997), Honegger 1985: 9 singletons, 6 twins, 1 rarely 2 (McCoy 2015)",1,2,1,1.3,2 years (http://www.rosamondgiffordzoo.org/assets/uploads/animals/pdf/Prehensile-tailedSkink.pdf),24,24,Scincidae,NE,2.8,2
Reptilia,Squamata,Lacertilla,Physignathus cocincinus,Physignathus,cocincinus,yes,Oriental,21.11,106.63,no,250,156.9,41.5,Oviparous,"4-23 mean 10.36 (Langerwerf 2006), 8-12 (Chan-ard et al. 2015), 5-16 (Vassilieva et al. 2016)",4,23,10.4,10.4,3-5 years (http://www.peteducation.com/article.cfm?c=17+1796&aid=3128); 18 months (http://care-sheet.com/index/Physignathus_cocincinus); 2-3 years (http://www.lafebervet.com/emergency-medicine/herps/basic-information-chinese-or-green-water-dragons-phsignathus-cocincinus/),18,60,Agamidae,NE,2.8,2
Reptilia,Squamata,Lacertilla,Pseudocordylus microlepidotus,Pseudocordylus,microlepidotus,yes,Afrotropic,-32.62,23.09,no,165,95,44,Viviparous,"3-6, 4-7 in fasciatus, 2 in namaquensis (Reissig 2014), 2-6, usually 4 (Branch 2016)",2,7,4,4,NA,NA,NA,Cordylidae,LC,2.8,2
Reptilia,Squamata,Lacertilla,Acanthodactylus scutellatus,Acanthodactylus,scutellatus,yes,Palearctic,23.81,12.9,no,85,52.6,24.3,Oviparous,"1-4, mean 2.5 (Perry 1990), mean 2.7 (Werner 1995), 1-4, means 2.6-2.7 (Werner 2016), 2-5, mean 3.3 (TAU experimental zoo data)",1,6,2.5,3.3,Perry 1990,6,9,Lacertidae,NE,2.9,2
Reptilia,Squamata,Lacertilla,Oedura marmorata,Oedura,marmorata,yes,Australia,-22.67,133.26,no,110,96.3,36.5,Oviparous,"2 (e.g., Brown 2012)",2,2,2,2,"Henkel and Schmidt 1995: 1 year with good feeding, Brown 2012: 24-36",12,12,Diplodactylidae,NE,2.9,2
Reptilia,Squamata,Lacertilla,Draco volans,Draco,volans,yes,Oriental,-7.35,110.24,yes,96,78,26.5,Oviparous,"3-6, mean 4.5 (Alcala 1966), 3 (Grandison 1972), up to 6 (Somaweera 2017)",1,7,4.5,4.5,"265-300 days (Alcala 1966), Clobert et al. 1998",7,10,Agamidae,NE,3,reptilesBIO
Reptilia,Squamata,Lacertilla,Egernia stokesii,Egernia,stokesii,yes,Australia,-27.05,132.72,no,207,182.3,75.5,Viviparous,1-8 (Brown 2012),1,8,3,5.8,"Chapple 2003: 60-72; Greer 2005: more than 6, Rogner 1997: 3.5 - looks too young",60,72,Scincidae,LC,3,2
Reptilia,Squamata,Lacertilla,Phelsuma lineata,Phelsuma,lineata,yes,Madagascar,-18.47,48.14,yes,65,42.8,20.3,Oviparous,"1.75 (Hallmann and Griebeler 2015), 1-2 (Probst 1999)",1,2,1.8,2,"Glaw and Vences 2007, Rogner 1997: 7-9, 240 days (Hallmann and Griebeler 2015)",7,9,Gekkonidae,LC,3,2
Reptilia,Squamata,Lacertilla,Plestiodon obsoletus,Plestiodon,obsoletus,yes,Nearctic,32.86,-102.09,no,143,112.6,37.5,Oviparous,"Fitch 1967: 10.15, Goldberg 2013: 9-12, mean 11.2; Lemos-Espinal and Dixon 2013: 7-24, mean 11.4 (Mesquita et al. 2016), 7-24 (Hibbitts and Hibbitts 2015), 5-32, mean 12 (LeClere 2013, Rorabaugh and Lemos-Espinal 2016)",5,32,10.2,15.2,"Degenhardt et al. 1996, Dunham et al. 1988, Clobert et al. 1998, Hibbitts and Hibbitts 2015: 3 years",32,36,Scincidae,LC,3,reptilesBIO
Reptilia,Squamata,Lacertilla,Takydromus tachydromoides,Takydromus,tachydromoides,yes,Palearctic,37.64,138.06,yes,70,50.9,24.9,Oviparous,"mean 3.6-4.2 (Pike et al. 2008, Mesquita et al. 2016)",1,9,2.9,5.1,"Dunham et al. 1988, Shine and Charnov 1992, Clobert et al. 1998, Bauwens and Diaz-Uriarte 1997: 7 months, Pike et al. 2008: 1 year",7,12,Lacertidae,LC,3,reptilesBIO
Reptilia,Squamata,Lacertilla,Urosaurus ornatus,Urosaurus,ornatus,yes,Nearctic,31.66,-107.32,no,69,46.2,20.8,Oviparous,"2-16 (Jones and Lovich 2009, Hibbitts and Hibbitts 2015, Lemos-Espinal et al. 2013), 2-7 (Stebbins and McGinnis 2012), 6-13, mean 8.6 (Goldberg 2013, Rorabaugh and Lemos-Espinal 2016), mean 7.1, max 13, but mean of 4.7 in another study (Tinkle and Dunham 1983), Gates 1963"" 6-10, mean 7.6, menas 4.7-9 (Mesquita et al. 2016), 2-12, MEAN 7.25 (Jimenez-Arcos et al. 2017)",2,16,3.9,10.9,"Dunham et al. 1988, Shine and Charnov 1992, Clobert et al. 1998, Tinkle and Dunham 1983: 8-9",8.5,12,Phrynosomatidae,LC,3,reptilesBIO
Reptilia,Squamata,Lacertilla,Teratoscincus microlepis,Teratoscincus,microlepis,yes,Palearctic,29.28,62.82,no,77,75,39,Oviparous,NA,1,2,2,2,NA,NA,NA,Sphaerodactylidae,NE,3.1,2
Reptilia,Squamata,Lacertilla,Cyclura pinguis,Cyclura,pinguis,yes,Neotropic,18.73,-64.34,yes,560,457,97.5,Oviparous,"12-16, mean 14 (Carey 1975), means 11.4-14 (Iverson et al. 2004)",7,20,10.6,14,"Wiewandt 1982, Clobert et al. 1998, Iverson et al. 2004: 4-9",48,108,Iguanidae,CR,3.2,2
Reptilia,Squamata,Lacertilla,Lacerta viridis,Lacerta,viridis,yes,Palearctic,45.45,24.12,no,160,102.4,32.5,Oviparous,"6-8, mean 6.6 (Karmishev and Yarigin 2013), 6-22, mean 8 (Stojanov et al. 2011), 5-12 (Szczerbak 2003), up to 20 (Stille and Stille 2017), 7-24, means 12.25-12.92 (Sagonas et al. 2018)",4,24,5.1,12.9,"Clobert et al. 1998: 27, Bauwens and Diaz-Uriarte 1997: 12; Fitch 1970: in 3rd year, Chondropoulos and Lykakis 1983: 3 years, Szczerbak 2003: 1 year",12,36,Lacertidae,LC,3.2,2
Reptilia,Squamata,Lacertilla,Egernia hosmeri,Egernia,hosmeri,yes,Australia,-19.25,141.16,no,180,NA,69.5,Viviparous,"1-4, mean 2 (Post 2000), 1-6 (Brown 2012)",1,6,2,2,"Post 2000, Chapple 2003, Greer 2005",36,60,Scincidae,NE,3.3,2
Reptilia,Squamata,Lacertilla,Chamaeleo chamaeleon,Chamaeleo,chamaeleon,yes,Palearctic,31.03,14.58,no,170,114.3,27.2,Oviparous,"up to 40 (Bar and Haimovitch 2012), 9-28, mean 17.3 (Ibrahim 2013), LeBerre et al. 2000: 15-50; LeBerre 2009: 15-40, mean 20.4 (Werner 1995), 12-66 (Werner 2016), 20-40 (Kwet 2015), 16-18 (TAU experimental zoo data)",3,50,17.3,30,"12: e.g., Dimaki et al. 2000, Necas 1999; LeBerre et al. 2000: 7 months, LeBerre 2009: 8 months",7,12,Chamaeleonidae,LC,3.4,2
Reptilia,Squamata,Lacertilla,Ptyodactylus hasselquistii,Ptyodactylus,hasselquistii,yes,Palearctic,21.17,38.67,no,105,69.6,31.5,Oviparous,"2 (e.g., Gardner 2013, Hallmann and Griebeler 2015, Werner 1995)",1,2,2,2,"Van Wilgen and Richardson 2012, Rogner 1997 (both 18 months), Hallmann and Griebeler 2015: 638.75 days (Hallmann and Griebeler 2015, I especially like the 18 hours)",18,21,Phyllodactylidae,NE,3.4,2
Reptilia,Squamata,Lacertilla,Hydrosaurus amboinensis,Hydrosaurus,amboinensis,yes,Oceania,-1.13,133.17,yes,350,NA,NA,Oviparous,NA,3,9,7,8,NA,NA,NA,Agamidae,NE,3.5,2
Reptilia,Squamata,Lacertilla,Lyriocephalus scutatus,Lyriocephalus,scutatus,yes,Oriental,6.8,80.46,yes,185,141.2,47,Oviparous,"2-4 , mean 2.33(Karunarathna and Amarasinghe 2013), 10-16 (de Silva and Ukuwela 2017), 1-11 (Das and Das 2017)",1,16,2.3,5,NA,NA,NA,Agamidae,NT,3.5,2
Reptilia,Squamata,Lacertilla,Chalcides ocellatus,Chalcides,ocellatus,yes,Palearctic,25.09,26.91,no,159.8,109.4,37,Viviparous,"Bogaerts 2006 / 3-10 (Bar and Haimovitch 2012), 2-6, mean 4 (Caputo et al. 2000), 4-6 (Gardner 2013), Goldberg 2014 (3.8 ±0.96 SD, range = 3–5. but 2-20 in 13 literature studies), Szczerbak 2003: 4-5, Werner 1995 (mean 4.2), Werner 2016 (typically 4-8, but 1-6 in an actual sample, mean 4.2), Itescu et al. 2016 (5, n=1), 2-20 (Speybroeck et al. 2016), 1-6, mean 3 (TAU experimental zoo data)",1,25,3,10,Bogaerts 2006: 20-24,20,24,Scincidae,NE,3.7,2
Reptilia,Squamata,Lacertilla,Acontias meleagris,Acontias,meleagris,yes,Afrotropic,-33.26,21.77,no,295,162.4,79,Viviparous,"3 (Haagner and Morgan 1992), 4 (Branch 2016)",2,4,3,3,NA,NA,NA,Scincidae,LC,3.9,2
Reptilia,Squamata,Lacertilla,Ameiva ameiva,Ameiva,ameiva,yes,Neotropic,-8.34,-58.3,no,210,118.9,39.1,Oviparous,"1-11 (Vitt et al. 2008), means 2.5-8 (Mesquita et al. 2016)",1,11,2.5,8,Van Wilgen and Richardson 2012: 6,6,6,Teiidae,NE,4,reptilesBIO
Reptilia,Squamata,Lacertilla,Basiliscus basiliscus,Basiliscus,basiliscus,yes,Neotropic,8,-75.9,no,250,160,40,Oviparous,"Pike et al. 2008: 8.5, mean 9.49 (Mesquita et al. 2016)",2,20,8.4,10,"Savage 2002, Shine and Charnov 1992, Dunham et al. 1988, Clobert et al. 1998, Pike et al. 2008 (1.7 years), Zuniga-Vega et al. 2005: 20, Fitch 1973: 6-10 months, van Devender 1978: 10 months minimum",10,20,Corytophanidae,LC,4,reptilesBIO
Reptilia,Squamata,Lacertilla,Callisaurus draconoides,Callisaurus,draconoides,yes,Nearctic,32.88,-113.75,no,109,67.9,28.5,Oviparous,"2-15 (Stebbins and McGinnis 2012, St. John 2002), mean 4.5 (Ramirez Bautista and Arizmendi 2004), 2-8, mean 4.42 (Pianka and Parker 1972), 3-6 (Tanner and Krogh 1975), 3-7, mean 4.5 (Vitt 1977), 3-8, mean 4.5 (Golberg 2013), means 2.67-6 (Mesquita et al. 2016), 2-4 mean 3.23 (Goldberg 2015, who reports values of 1-8 and means of 3-4.6 in the literature), 1-8, means 4-5 (Rorabaugh and Lemos-Espinal 2016)",1,15,2.7,6,"Dunham et al. 1988: 12; Pianka and Parker 1972: 9, Tanner and Krogh 1975: 2 years",9,24,Phrynosomatidae,LC,4,reptilesBIO
Reptilia,Squamata,Lacertilla,Hemidactylus mabouia,Hemidactylus,mabouia,yes,Afrotropic,-3.95,22.53,no,90,58.2,22.5,Oviparous,means 1.714-2 (Mesquita et al. 2016),1,2,1.7,2,"Van Wilgen and Richardson 2012, Henkel and Schmidt 1995",11,12,Gekkonidae,NE,4,reptilesBIO
Reptilia,Squamata,Lacertilla,Phelsuma laticauda,Phelsuma,laticauda,yes,Madagascar,-14.01,48.94,yes,65,45.3,NA,Oviparous,"2 (Hallmann and Griebeler 2015), usually 2 (Probst 1999)",1,2,2,2,"Goldberg and Kraus 2011, Henkel and Schmidt 1995, Hallmann and Griebeler 2015: 330 days, Probst 1999 (10-12 months in captivity)",9,12,Gekkonidae,LC,4,2
Reptilia,Squamata,Lacertilla,Varanus spenceri,Varanus,spenceri,yes,Australia,-21.22,140.88,no,580,414.6,124,Oviparous,mean 19.4 (Du et al. 2014),10,35,12,27.5,NA,NA,NA,Varanidae,NE,4.3,2
Reptilia,Squamata,Lacertilla,Iguana delicatissima,Iguana,delicatissima,yes,Neotropic,15.94,-61.55,yes,434,353,75,Oviparous,NA,4,30,NA,NA,Henderson and Powell 2009,36,36,Iguanidae,EN,4.4,2
Reptilia,Squamata,Lacertilla,Varanus flavescens,Varanus,flavescens,yes,Oriental,26.85,82.34,no,515,332.2,70.8,Oviparous,mean 16 (Du et al. 2014),4,30,8.5,16,Schleich and Kastle 2002: 30-42; Pianka and King 2004: between 3rd and 4th year,30,42,Varanidae,LR/lc,4.5,2
Reptilia,Squamata,Lacertilla,Ctenosaura similis,Ctenosaura,similis,yes,Neotropic,14.76,-87.71,no,490,305,53.5,Oviparous,"15-30 (Ramirez Bautista and Arizmendi 2004), mean 43.4 (e.g., Mesquita et al. 2016)",12,88,22,43.4,"Wiewandt 1982, Dunham et al. 1988, Clobert et al. 1998",21,33,Iguanidae,LC,4.8,1
Reptilia,Squamata,Lacertilla,Eublepharis macularius,Eublepharis,macularius,yes,Oriental,28.67,70.51,no,170,118.9,50.5,Oviparous,"mean 1.75 (Hallmann & Griebeler 2015), 1-3 (Das and Das 2017)",1,3,1.8,3,"Seufer et al. 2005: 1.5 years but can be induced to reproduce at 40 days, 400 days (Hallmann & Griebeler 2015)",13,18,Eublepharidae,NE,4.9,2
Reptilia,Squamata,Lacertilla,Anolis carolinensis,Anolis,carolinensis,yes,Nearctic,32.08,-88.33,no,75,49.3,21.8,Oviparous,"1 (Zug 2013, Hibbitts and Hibbitts 2015), mean 1.3 (e.g., Mesquita et al. 2016)",1,2,1,1.3,"6.5: Van Wilgen and Richardson 2012, Dunham et al. 1988: 12, Andrews 1976: 115-279 days",4,12,Dactyloidae,LC,5,reptilesBIO
Reptilia,Squamata,Lacertilla,Chamaeleo calyptratus,Chamaeleo,calyptratus,yes,Afrotropic,16.35,43.36,no,239,180,25,Oviparous,"35 (Van Wilgen and Richardson 2012), 30-95 (Zug 2013), 30-70 (LeBerre et al. 2000, LeBerre 2009)",11,95,35,35,Van Wilgen and Richardson 2012: 6; LeBerre et al. 2000: 6,6,6,Chamaeleonidae,LC,5,reptilesBIO
Reptilia,Squamata,Lacertilla,Hemidactylus frenatus,Hemidactylus,frenatus,yes,Oriental,11.35,104.19,no,67,52.7,21,Oviparous,"1-2 (Teynie and David 2010), 2, rarely 1 (Zug 2013), 2 (Lamberson 1987, Das and Das 2017), mean 2 (Mesquita et al. 2016), 2 (Vassilieva et al. 2016, de Silva and Ukuwela 2017), 2 (Gawor et al. 2016 - in all 3 females), 1-2, mean 1.95 (Goldberg and Kraus 2016), 2 (Geissler et al. 2011; n=1)",1,2,1.9,2,"Schleich and Kastle 2002, Van Wilgen and Richardson 2012: 2.5, Henkel and Schmidt 1995: 1 year",2.5,12,Gekkonidae,LC,5,reptilesBIO
Reptilia,Squamata,Lacertilla,Pachydactylus rangei,Pachydactylus,rangei,yes,Afrotropic,-22.94,14.7,no,80,70.5,26,Oviparous,"2 (e.g., Schleicher 2015, Branch 2016)",2,2,2,2,"Henkel and Schmidt 1995, Rogner 1997: 12",12,12,Gekkonidae,NE,5,reptilesBIO
Reptilia,Squamata,Lacertilla,Phrynosoma douglasii,Phrynosoma,douglasii,yes,Nearctic,42.45,-117.32,no,80,71.5,18.8,Viviparous,"3-15 (Stebbins and McGinnis 2012, St. John 2002, Storm and Leonard 1995), 9-30 (Feria-Ortiz et al. 2018)",3,36,6,24,"Degenhardt et al. 1996, Shine and Charnov 1992, Dunham et al. 1988, Pianka and Parker 1975",24,24,Phrynosomatidae,LC,5,reptilesBIO
Reptilia,Squamata,Lacertilla,Basiliscus plumifrons,Basiliscus,plumifrons,yes,Neotropic,12.96,-84.22,no,250,125.5,38.5,Oviparous,16.5 (Van Wilgen and Richardson 2012),4,18,NA,NA,Van Wilgen and Richardson 2012,20,20,Corytophanidae,LC,5.1,2
Reptilia,Squamata,Lacertilla,Leiolepis belliana,Leiolepis,belliana,yes,Oriental,13.36,101.75,no,177.8,88.1,40,Oviparous,"3-4, mean 3.3 (Goldberg and Grismer 2015; n=3)",3,8,3.3,6,NA,NA,NA,Agamidae,NE,5.6,2
Reptilia,Squamata,Lacertilla,Basiliscus vittatus,Basiliscus,vittatus,yes,Neotropic,16.83,-91.18,no,225,117.8,37.5,Oviparous,"2-6, mean 4.2, Hirth 1963, 6-12 (Ramirez-Bautista et al. 2014)",2,18,3.9,6.9,"Savage 2002, Van Wilgen and Richardson 2012, Fitch 1973: 6-10 months",6,12,Corytophanidae,LC,5.8,2
Reptilia,Squamata,Lacertilla,Ophiomorus tridactylus,Ophiomorus,tridactylus,yes,Palearctic,30.24,64.8,no,105,86.3,NA,Viviparous,NA,4,4,NA,NA,NA,NA,NA,Scincidae,NE,5.8,2
Reptilia,Squamata,Lacertilla,Brachylophus fasciatus,Brachylophus,fasciatus,yes,Oceania,-18.04,-2.49,yes,250,161,74,Oviparous,NA,2,8,3.9,3.9,Zug 1991,12,12,Iguanidae,EN,5.9,2
Reptilia,Squamata,Lacertilla,Varanus giganteus,Varanus,giganteus,yes,Australia,-24.86,128.22,no,950,568.2,150.2,Oviparous,mean 9.6 (Du et al. 2014),5,13,8.5,9.6,NA,NA,NA,Varanidae,NE,5.9,2
Reptilia,Squamata,Lacertilla,Anniella pulchra,Anniella,pulchra,yes,Nearctic,34.71,-118.72,no,180,143.8,56,Viviparous,"1-4 (Stebbins and McGinnis 2012, Lemm 2006, Zaldivar Riveron et al. 2002), means 1.3-1.75 (Mesquita et al. 2016)",1,4,1.3,2,"Stebbins and McGinnis 2012, Lemm 2006",24,36,Anniellidae,LC,6,reptilesBIO
Reptilia,Squamata,Lacertilla,Calumma parsonii,Calumma,parsonii,yes,Madagascar,-17.53,48.59,yes,300,173.9,28,Oviparous,"40 (Mattioli et al. 2006), LeBerre et al. 2000: 40-60, LeBerre 2009: 20-40",16,60,NA,NA,"3-5 years (Measey et al. 2014), LeBerre et al. 2000: 18 months, LeBerre 2009: 20-24 months",20,60,Chamaeleonidae,NT,6,reptilesBIO
